,ID,Case Number,Block,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude,Dates,Time
117296,10350164,HY540670,077XX S MARSHFIELD AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,BANK,FALSE,FALSE,2015,41.75317001,-87.66472271,12/14/2015,13:00:00
117297,10350165,HY540026,060XX S NORMAL BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2015,41.78474951,-87.63760256,12/16/2015,21:55:00
117298,10350166,HY540787,0000X N LAVERGNE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2015,41.88081922,-87.75018823,12/17/2015,8:45:00
117299,10350168,HY540626,032XX W 26TH ST,THEFT,$500 AND UNDER,CREDIT UNION,FALSE,FALSE,2015,41.84449469,-87.70664999,12/14/2015,18:00:00
117300,10350169,HY540761,061XX S KEDZIE AVE,THEFT,$500 AND UNDER,SIDEWALK,FALSE,FALSE,2015,41.78238119,-87.70323301,12/17/2015,15:15:00
117301,10350170,HY540705,005XX W 125TH ST,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2015,41.66698106,-87.63462276,12/17/2015,12:44:00
117302,10350171,HY540749,016XX N MONITOR AVE,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,2015,41.90978106,-87.77147521,12/17/2015,14:50:00
117303,10350172,HY540655,019XX S SPAULDING AVE,OTHER OFFENSE,TELEPHONE THREAT,APARTMENT,FALSE,FALSE,2015,41.85494003,-87.70778137,12/17/2015,13:30:00
117304,10350175,HY540757,065XX S HALSTED ST,ASSAULT,SIMPLE,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2015,41.77560426,-87.64467803,12/17/2015,14:00:00
117305,10350176,HY540735,017XX W 90TH PL,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,2015,41.72932347,-87.66592988,12/17/2015,13:50:00
117306,10350180,HY540657,010XX W AINSLIE ST,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,FALSE,2015,41.97157142,-87.65536462,12/13/2015,12:57:00
117307,10350181,HY540727,006XX N MICHIGAN AVE,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,2015,41.89275303,-87.6241939,12/17/2015,14:00:00
117308,10350182,HY540768,022XX W 50TH ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,FALSE,2015,41.80299185,-87.68080861,12/17/2015,15:10:00
117309,10350183,HY540815,059XX N GLENWOOD AVE,CRIMINAL TRESPASS,TO STATE SUP LAND,"SCHOOL, PUBLIC, GROUNDS",TRUE,FALSE,2015,41.98924362,-87.66511973,12/17/2015,15:22:00
117310,10350184,HY540728,029XX S ARCHER AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,OTHER,FALSE,FALSE,2015,41.84056277,-87.66019894,10/14/2015,15:00:00
117311,10350185,HY540847,013XX W FULLERTON AVE,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2015,41.92522624,-87.66268307,12/15/2015,23:00:00
117312,10350186,HY540826,055XX S THROOP ST,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2015,41.79307513,-87.65727462,12/17/2015,13:15:00
117313,10350187,HY540737,045XX N BROADWAY,THEFT,OVER $500,CURRENCY EXCHANGE,FALSE,FALSE,2015,41.9646299,-87.65698253,12/11/2015,14:15:00
117314,10350188,HY540745,0000X S HALSTED ST,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,2015,41.88120318,-87.64734233,12/17/2015,14:20:00
117315,10350190,HY540825,023XX W WABANSIA AVE,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2015,41.91260283,-87.68514919,11/24/2015,18:30:00
117316,10350191,HY540846,118XX S SANGAMON ST,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,2015,41.67890282,-87.64560016,12/17/2015,6:00:00
117317,10350192,HY540822,0000X W VAN BUREN ST,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,PARK PROPERTY,TRUE,FALSE,2015,41.87691113,-87.62830167,12/17/2015,15:55:00
117318,10350193,HY540703,005XX N WALLER AVE,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2015,41.89039682,-87.76778144,12/17/2015,14:30:00
117319,10350194,HY540810,040XX N ELSTON AVE,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2015,41.95487335,-87.72087093,12/16/2015,11:00:00
117320,10350197,HY540712,044XX N MASON AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,TRUE,2015,41.96112201,-87.77582256,12/17/2015,10:54:00
117321,10000975,HY190495,080XX S INGLESIDE AVE,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,2015,41.74866534,-87.60147471,3/19/2015,11:45:00
117322,10350198,HY540763,031XX N MILWAUKEE AVE,ASSAULT,SIMPLE,ALLEY,FALSE,FALSE,2015,41.93895511,-87.72362918,12/17/2015,12:00:00
117323,10350199,HY540722,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,2015,41.88350019,-87.6278767,12/17/2015,13:30:00
117324,10350200,HY540837,070XX S PULASKI RD,BURGLARY,FORCIBLE ENTRY,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2015,41.76553336,-87.7224331,12/17/2015,15:00:00
117325,10350204,HY540836,073XX S HERMITAGE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2015,41.76025727,-87.66733944,12/17/2015,15:00:00
117326,10350205,HY540821,015XX N AVERS AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,2015,41.90878638,-87.72284361,12/14/2015,16:00:00
117327,10350207,HY540862,079XX S DAMEN AVE,ASSAULT,SIMPLE,STREET,FALSE,FALSE,2015,41.75000501,-87.67312565,12/16/2015,15:10:00
117328,10350211,HY540839,065XX S FRANCISCO AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2015,41.7749384,-87.69572439,12/15/2015,15:30:00
117329,10350214,HY540865,013XX N CLEVELAND AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2015,41.9068999,-87.64088826,12/16/2015,13:00:00
117330,10350215,HY540903,007XX N OAKLEY BLVD,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2015,41.89419548,-87.68435101,12/16/2015,16:00:00
117331,10350216,HY540889,015XX N AVERS AVE,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,2015,41.90878638,-87.72284361,12/13/2015,0:01:00
117332,10350218,HY540876,002XX N PULASKI RD,NARCOTICS,POSS: CRACK,STREET,TRUE,FALSE,2015,41.88500121,-87.72579133,12/17/2015,16:18:00
117333,10350219,HY540897,0000X E WACKER DR,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,2015,41.88686381,-87.6268518,12/17/2015,16:30:00
117334,10350220,HY540858,048XX S EVANS AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2015,41.80692786,-87.60772965,9/17/2015,9:00:00
117335,10350221,HY540823,019XX W 63RD ST,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,FALSE,FALSE,2015,41.77932998,-87.6730156,12/17/2015,14:42:00
117336,10350222,HY540793,007XX W 14TH PL,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2015,41.86235681,-87.64615248,12/17/2015,15:00:00
117337,10350223,HY540875,014XX N MILWAUKEE AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,FALSE,FALSE,2015,41.90775524,-87.67336165,11/17/2015,14:45:00
117338,10350224,HY540868,012XX S WABASH AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,GAS STATION,FALSE,FALSE,2015,41.86684367,-87.62581667,12/17/2015,0:58:00
117339,10350226,HY540773,004XX N STATE ST,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,FALSE,FALSE,2015,41.89038912,-87.62802126,10/15/2015,0:00:00
117340,10350227,HY540760,002XX N PULASKI RD,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,2015,41.88510276,-87.72579404,12/17/2015,14:30:00
117341,10350232,HY540723,001XX N STATE ST,BATTERY,SIMPLE,SIDEWALK,TRUE,FALSE,2015,41.88465026,-87.62791546,12/17/2015,14:40:00
117342,10350233,HY540849,041XX W ROOSEVELT RD,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,CTA BUS,FALSE,FALSE,2015,41.86613202,-87.72792314,12/17/2015,16:06:00
117343,10350234,HY540682,057XX S LOWE AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,2015,41.79021986,-87.64140104,12/17/2015,13:30:00
117344,10350236,HY540905,005XX N LEAMINGTON AVE,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,2015,41.89018644,-87.75420175,12/17/2015,14:30:00
117345,10350237,HY540869,069XX S ASHLAND AVE,ASSAULT,SIMPLE,BANK,TRUE,FALSE,2015,41.76772629,-87.66386778,12/17/2015,16:12:00
117346,12130004,JD325740,072XX S ARTESIAN AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2020,41.76239942,-87.68440159,8/9/2020,1:45:00
117347,10350238,HY539329,011XX E 81ST ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2015,41.74773187,-87.5962597,12/5/2015,12:00:00
117348,11861851,JC472856,021XX W RICE ST,THEFT,FROM BUILDING,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2019,41.89677048,-87.6806372,10/14/2019,15:07:00
117349,10350240,HY540907,071XX S JEFFERY BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2015,41.76587359,-87.57629471,12/17/2015,16:10:00
117350,10350242,HY540934,028XX W JACKSON BLVD,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,FALSE,FALSE,2015,41.87741589,-87.69786096,12/16/2015,20:00:00
117351,10350243,HY540706,026XX W 63RD ST,THEFT,OVER $500,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,2015,41.77917619,-87.68943499,12/16/2015,19:30:00
117352,10350244,HY540719,060XX S WHIPPLE ST,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,2015,41.78371423,-87.6996157,12/8/2015,9:00:00
