,ID,Case Number,Block,Primary Type,Description,Location Description,Arrest,Domestic,Year,Latitude,Longitude,Dates,Time
395515,10775524,HZ539805,013XX S MILLARD AVE,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,SIDEWALK,TRUE,FALSE,2016,41.86404635,-87.71656951,12/4/2016,14:00:00
395516,10775526,HZ542014,047XX N LAWNDALE AVE,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,RESIDENCE,TRUE,FALSE,2016,41.96714159,-87.7206615,12/6/2016,0:30:00
395517,10775528,HZ541917,079XX S HALSTED ST,ROBBERY,STRONGARM - NO WEAPON,BANK,FALSE,FALSE,2016,41.75018542,-87.64402995,12/6/2016,10:15:00
395518,10775529,HZ541684,122XX S UNION AVE,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,2016,41.67192455,-87.63930564,12/6/2016,6:00:00
395519,10775531,HZ541966,012XX S PULASKI RD,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,2016,41.86543404,-87.72514691,12/6/2016,10:40:00
395520,10775535,HZ540837,023XX W 23RD ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2016,41.85023641,-87.68405412,12/5/2016,14:00:00
395521,10775536,HZ542044,0000X N MICHIGAN AVE,THEFT,POCKET-PICKING,OTHER,FALSE,FALSE,2016,41.88242485,-87.62437788,12/6/2016,8:00:00
395522,10775537,HZ541983,031XX W 26TH ST,THEFT,ATTEMPT THEFT,RESTAURANT,FALSE,FALSE,2016,41.84453689,-87.70332817,12/6/2016,11:15:00
395523,10775540,HZ541864,005XX N MICHIGAN AVE,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2016,41.89113357,-87.62413468,12/3/2016,15:00:00
395524,11867402,JC480530,073XX S ASHLAND AVE,THEFT,$500 AND UNDER,CTA BUS,FALSE,FALSE,2019,41.75968146,-87.66364719,10/15/2019,21:55:00
395525,10775542,HZ541915,104XX S RHODES AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,2016,41.70423964,-87.61002428,12/4/2016,9:00:00
395526,10775543,HZ541393,0000X W JACKSON BLVD,BATTERY,SIMPLE,SMALL RETAIL STORE,FALSE,FALSE,2016,41.87817703,-87.62798666,12/5/2016,19:50:00
395527,10775544,HZ541937,008XX S STATE ST,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2016,41.87148916,-87.62751679,12/6/2016,10:00:00
395528,10775547,HZ542084,016XX E 95TH ST,THEFT,$500 AND UNDER,GAS STATION,FALSE,FALSE,2016,41.7223626,-87.58382047,12/6/2016,12:45:00
395529,10775548,HZ542046,023XX S CHRISTIANA AVE,THEFT,OVER $500,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2016,41.84904557,-87.70882978,11/22/2016,16:08:00
395530,10775550,HZ542034,071XX S JEFFERY BLVD,CRIMINAL TRESPASS,TO STATE SUP LAND,OTHER RAILROAD PROP / TRAIN DEPOT,FALSE,FALSE,2016,41.76587359,-87.57629471,12/6/2016,11:10:00
395531,10775552,HZ542104,030XX W BERTEAU AVE,THEFT,FROM BUILDING,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2016,41.9575755,-87.7049624,11/29/2016,14:00:00
395532,10775559,HZ542035,083XX S PULASKI RD,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,2016,41.74159339,-87.72165974,12/6/2016,11:30:00
395533,10775561,HZ541912,004XX S CENTRAL PARK AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,TRUE,FALSE,2016,41.87500499,-87.7157041,12/6/2016,10:15:00
395534,10775562,HZ542017,066XX S GREEN ST,ASSAULT,SIMPLE,ALLEY,TRUE,FALSE,2016,41.77365181,-87.64584271,12/6/2016,11:24:00
395535,10775563,HZ542076,066XX S RICHMOND ST,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,VEHICLE NON-COMMERCIAL,FALSE,FALSE,2016,41.77294979,-87.6968952,12/6/2016,12:50:00
395536,10775566,HZ542112,0000X S CICERO AVE,NARCOTICS,POSS: PCP,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,2016,41.87938891,-87.74523661,12/6/2016,12:47:00
395537,10775568,HZ542098,002XX N COLUMBUS DR,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2016,41.8863702,-87.6206912,12/2/2016,9:00:00
395538,10775569,HZ540827,026XX N ELSTON AVE,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,2016,41.92959441,-87.68405847,12/3/2016,12:30:00
395539,10775575,HZ542120,051XX S LAKE PARK AVE,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,TRUE,FALSE,2016,41.8021017,-87.58774785,12/6/2016,12:23:00
395540,10775576,HZ540408,078XX S WOOD ST,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,APARTMENT,FALSE,TRUE,2016,41.75128633,-87.66831904,11/18/2016,13:30:00
395541,10775577,HZ542105,020XX W 79TH ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,2016,41.75022312,-87.6738307,12/6/2016,12:48:00
395542,10775581,HZ542116,059XX W HIGGINS AVE,ASSAULT,SIMPLE,STREET,TRUE,FALSE,2016,41.97266665,-87.77633602,12/6/2016,12:30:00
395543,10775582,HZ542070,001XX N CARPENTER ST,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,2016,41.88355445,-87.65324793,12/6/2016,7:00:00
395544,10775583,HZ542110,0000X E RANDOLPH ST,THEFT,OVER $500,STREET,FALSE,FALSE,2016,41.88449406,-87.62705785,12/6/2016,12:45:00
395545,10775589,HZ542083,045XX N KENNETH AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2016,41.96348313,-87.73990825,12/2/2016,1:30:00
395546,10775590,HZ541997,040XX N KILBOURN AVE,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2016,41.95450191,-87.74055406,12/6/2016,8:30:00
395547,10775594,HZ542138,028XX W MADISON ST,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2016,41.88107271,-87.6966423,12/4/2016,17:50:00
395548,10775598,HZ541996,028XX N CICERO AVE,ROBBERY,STRONGARM - NO WEAPON,SMALL RETAIL STORE,TRUE,FALSE,2016,41.93208806,-87.74661236,12/6/2016,11:17:00
395549,10775599,HZ542023,019XX E 75TH ST,ASSAULT,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2016,41.75886825,-87.57683886,12/5/2016,13:00:00
395550,10775600,HZ542130,030XX W ARTHINGTON ST,BATTERY,PRO EMP HANDS NO/MIN INJURY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2016,41.87008898,-87.70188409,12/6/2016,11:10:00
395551,10775602,HZ542092,075XX S KINGSTON AVE,ROBBERY,ARMED: HANDGUN,APARTMENT,FALSE,FALSE,2016,41.75808008,-87.56271542,12/6/2016,11:50:00
395552,10775603,HZ542042,096XX S AVENUE L,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2016,41.72082845,-87.53649772,12/6/2016,12:00:00
395553,10775604,HZ542082,085XX S PHILLIPS AVE,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,2016,41.73985293,-87.56483871,12/5/2016,10:00:00
395554,10775613,HZ534755,005XX W OHARE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,AIRPORT PARKING LOT,FALSE,FALSE,2016,41.98082628,-87.88361132,11/16/2016,12:30:00
395555,10775615,HZ542001,083XX S KNOX AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,2016,41.74106258,-87.7376332,12/6/2016,8:00:00
395556,10775616,HZ542132,0000X N LECLAIRE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,TRUE,FALSE,2016,41.8807328,-87.75263098,12/5/2016,19:00:00
395557,10775619,HZ541876,0000X W TERMINAL ST,THEFT,$500 AND UNDER,AIRPORT TERMINAL LOWER LEVEL - NON-SECURE AREA,TRUE,FALSE,2016,41.97676298,-87.90098372,12/1/2016,7:45:00
395558,10775623,HZ542151,085XX S INGLESIDE AVE,NARCOTICS,FOUND SUSPECT NARCOTICS,"SCHOOL, PUBLIC, BUILDING",TRUE,FALSE,2016,41.73986033,-87.60127425,12/6/2016,12:29:00
395559,10775626,HZ542153,070XX S CHAPPEL AVE,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,2016,41.76744101,-87.5751106,12/2/2016,11:00:00
395560,10775627,HZ542115,068XX S SOUTH CHICAGO AVE,BURGLARY,FORCIBLE ENTRY,SMALL RETAIL STORE,FALSE,FALSE,2016,41.77021755,-87.61164802,12/5/2016,17:45:00
395561,10775628,HZ542121,042XX N KEELER AVE,CRIMINAL TRESPASS,TO RESIDENCE,APARTMENT,FALSE,FALSE,2016,41.95779479,-87.73260057,12/3/2016,2:30:00
395562,10775630,HZ534761,005XX W OHARE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,AIRPORT PARKING LOT,FALSE,FALSE,2016,41.98082628,-87.88361132,10/25/2016,12:00:00
395563,10775632,HZ542172,066XX W 63RD PL,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2016,41.7766867,-87.7873985,11/12/2016,9:00:00
395564,10775633,HZ542087,023XX N SHEFFIELD AVE,NARCOTICS,FOUND SUSPECT NARCOTICS,COLLEGE/UNIVERSITY RESIDENCE HALL,TRUE,FALSE,2016,41.92419568,-87.65356611,12/6/2016,11:50:00
395565,10775634,HZ542163,028XX N NATOMA AVE,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,2016,41.93188761,-87.79183222,11/23/2016,12:00:00
395566,10775638,HZ542143,001XX S ASHLAND AVE,THEFT,FROM BUILDING,CONVENIENCE STORE,FALSE,FALSE,2016,41.87959135,-87.66675172,12/4/2016,14:30:00
395567,10775639,HZ536693,074XX N GREENVIEW AVE,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,2016,42.01678825,-87.66816548,12/2/2016,5:00:00
395568,10775643,HZ542049,079XX S RHODES AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2016,41.75070325,-87.61127663,12/6/2016,0:01:00
395569,10775644,HZ542173,123XX S HALSTED ST,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,BOWLING ALLEY,TRUE,FALSE,2016,41.66967451,-87.64163568,9/21/2016,0:44:00
395570,10775646,HZ541931,009XX N LEAVITT ST,ROBBERY,ARMED: HANDGUN,OTHER,FALSE,FALSE,2016,41.89885029,-87.68203019,12/6/2016,10:25:00
395571,10775647,HZ542093,074XX N DAMEN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,TRUE,FALSE,2016,42.017158,-87.68046743,12/6/2016,12:27:00
395572,10775648,HZ540631,058XX S KILDARE AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2016,41.78700532,-87.73033288,11/19/2016,10:53:00
395573,10775653,HZ541773,019XX W OGDEN AVE,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2016,41.87321963,-87.67586867,12/6/2016,6:00:00
395574,10775654,HZ541795,025XX N FAIRFIELD AVE,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,FALSE,TRUE,2016,41.92859561,-87.6963243,11/19/2016,2:00:00
395575,10775655,HZ542141,001XX N STATE ST,THEFT,FROM BUILDING,DEPARTMENT STORE,FALSE,FALSE,2016,41.88350019,-87.6278767,12/5/2016,17:00:00
395576,10775659,HZ542187,057XX N KIMBALL AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2016,41.98537034,-87.71382933,12/1/2016,18:00:00
395577,10775660,HZ542192,044XX S ELLIS AVE,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,FALSE,FALSE,2016,41.81403629,-87.60179113,11/27/2016,10:00:00
395578,10775661,HZ539204,008XX S WESTERN AVE,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,2016,41.8709235,-87.6861579,12/3/2016,12:30:00
395579,10775662,HZ535100,100XX W OHARE ST,THEFT,OVER $500,AIRPORT/AIRCRAFT,FALSE,FALSE,2016,41.97629041,-87.90522722,11/9/2016,15:00:00
395580,10775664,HZ542207,022XX N SEDGWICK ST,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,2016,41.92225035,-87.63894386,12/6/2016,10:30:00
395581,10775665,HZ542166,020XX W 63RD ST,THEFT,RETAIL THEFT,TAVERN/LIQUOR STORE,FALSE,FALSE,2016,41.77931045,-87.67439434,12/6/2016,13:45:00
395582,10775666,HZ542194,022XX W WASHINGTON BLVD,CRIMINAL DAMAGE,TO STATE SUP PROP,APARTMENT,FALSE,FALSE,2016,41.8830454,-87.68285541,12/5/2016,8:00:00
395583,10775667,HZ542108,029XX S STATE ST,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,TRUE,TRUE,2016,41.84135048,-87.62686091,12/6/2016,11:20:00
395584,10775674,HZ542158,043XX N RIDGEWAY AVE,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,2016,41.96006696,-87.72167786,11/30/2016,12:00:00
395585,10775676,HZ542113,015XX N CLYBOURN AVE,BATTERY,SIMPLE,CTA PLATFORM,TRUE,FALSE,2016,41.91067631,-87.64918707,12/6/2016,12:17:00
395586,10775677,HZ542202,004XX S STATE ST,THEFT,$500 AND UNDER,LIBRARY,TRUE,FALSE,2016,41.87660796,-87.62764406,12/5/2016,11:27:00
395587,10775678,HZ542155,008XX N KEELER AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,2016,41.89593993,-87.73103188,12/6/2016,13:30:00
395588,10775679,HZ533151,020XX W 69TH PL,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,2016,41.76752553,-87.67423636,11/29/2016,10:55:00
395589,10775680,HZ541914,0000X W 69TH ST,BATTERY,SIMPLE,CTA STATION,FALSE,FALSE,2016,41.76918549,-87.62573242,12/6/2016,10:15:00
395590,10775681,HZ542157,077XX S STONY ISLAND AVE,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,CONSTRUCTION SITE,FALSE,FALSE,2016,41.75422677,-87.58550954,12/1/2016,20:16:00
395591,10775682,HZ541924,061XX S WOLCOTT AVE,CRIMINAL DAMAGE,TO PROPERTY,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,2016,41.78227994,-87.67155906,12/5/2016,15:00:00
395592,10775683,HZ541887,073XX N SHERIDAN RD,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,HOTEL/MOTEL,TRUE,FALSE,2016,42.01421603,-87.66422914,12/6/2016,9:03:00
395593,10775685,HZ542097,022XX W GRAND AVE,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",OTHER,FALSE,FALSE,2016,41.89073023,-87.68253872,10/13/2016,16:17:00
395594,10775686,HZ542205,006XX N WELLS ST,BURGLARY,UNLAWFUL ENTRY,CONSTRUCTION SITE,FALSE,FALSE,2016,41.89361798,-87.63412309,12/5/2016,2:50:00
395595,10775687,HZ542188,016XX N WELLS ST,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,2016,41.91161008,-87.634724,11/22/2016,14:55:00
395596,10775688,HZ542212,065XX W BELMONT AVE,THEFT,RETAIL THEFT,CONVENIENCE STORE,FALSE,FALSE,2016,41.9382489,-87.79012447,12/6/2016,14:35:00
395597,10775689,HZ542184,054XX N CLARK ST,CRIMINAL DAMAGE,TO PROPERTY,VACANT LOT/LAND,FALSE,FALSE,2016,41.98039848,-87.66832367,12/4/2016,19:00:00
395598,10775690,HZ542003,062XX N CANFIELD AVE,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,FALSE,FALSE,2016,41.99391358,-87.82203075,8/1/2016,9:00:00
395599,10775695,HZ542208,019XX W 35TH ST,THEFT,RETAIL THEFT,DRUG STORE,FALSE,FALSE,2016,41.8304078,-87.67371278,12/5/2016,20:17:00
395600,10775696,HZ541935,001XX E 68TH ST,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,2016,41.77104363,-87.62133129,12/5/2016,10:00:00
395601,10775697,HZ542204,008XX W WASHINGTON BLVD,THEFT,FROM BUILDING,SMALL RETAIL STORE,FALSE,FALSE,2016,41.88311977,-87.64890825,12/6/2016,14:15:00
395602,10775700,HZ542091,052XX S LAKE PARK AVE,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,SMALL RETAIL STORE,FALSE,FALSE,2016,41.80045567,-87.58740752,12/6/2016,10:00:00
395603,10775701,HZ542006,052XX S INDIANA AVE,ASSAULT,AGGRAVATED: OTHER FIREARM,APARTMENT,FALSE,TRUE,2016,41.79928004,-87.62096013,12/6/2016,11:31:00
395604,10775702,HZ542018,048XX W RACE AVE,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,FALSE,FALSE,2016,41.89047188,-87.74610456,12/5/2016,23:00:00
395605,10775703,HZ542147,111XX S EDBROOKE AVE,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,FALSE,FALSE,2016,41.69187878,-87.61961641,12/5/2016,16:00:00
395606,10775704,HZ541927,0000X E 100TH ST,THEFT,$500 AND UNDER,STREET,FALSE,TRUE,2016,41.71265184,-87.62203101,12/3/2016,4:00:00
395607,10775705,HZ541973,043XX S COTTAGE GROVE AVE,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,2016,41.81635893,-87.60670242,12/4/2016,17:00:00
395608,10775706,HZ542224,0000X S FRANKLIN ST,THEFT,FROM BUILDING,HOTEL/MOTEL,FALSE,FALSE,2016,41.88177008,-87.63530987,12/6/2016,13:30:00
395609,10775708,HZ541959,003XX W 106TH ST,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,2016,41.70159578,-87.63153835,12/6/2016,7:00:00
395610,10775710,HZ542182,038XX W HARRISON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2016,41.87351066,-87.72055414,12/6/2016,13:15:00
395611,10775711,HZ542170,012XX S AVERS AVE,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,TRUE,FALSE,2016,41.86561498,-87.72149596,12/6/2016,13:49:00
395612,10775713,HZ537148,040XX S VINCENNES AVE,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,2016,41.82091742,-87.61328023,12/2/2016,13:11:00
395613,10775714,HZ542146,001XX N STATE ST,THEFT,RETAIL THEFT,DEPARTMENT STORE,TRUE,FALSE,2016,41.88350019,-87.6278767,12/6/2016,11:30:00
395614,10775715,HZ540677,004XX E 48TH PL,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2016,41.80667486,-87.61506828,12/4/2016,4:00:00
395615,10775716,HZ542198,026XX S AVERS AVE,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,2016,41.84355876,-87.72086937,11/16/2016,16:47:00
395616,10775717,HZ542125,120XX S STATE ST,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,2016,41.67473669,-87.62255844,12/5/2016,21:30:00
395617,10775718,HZ542215,100XX S LONGWOOD DR,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,TRUE,TRUE,2016,41.71144281,-87.6690009,12/6/2016,14:15:00
395618,10775719,HZ541882,093XX S EBERHART AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,2016,41.72473714,-87.61179822,12/4/2016,17:00:00
395619,10775720,HZ542189,110XX S WENTWORTH AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2016,41.69310736,-87.62791794,12/5/2016,15:00:00
395620,10775721,HZ542220,060XX W BELMONT AVE,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2016,41.93843434,-87.77726986,12/5/2016,8:30:00
395621,10775722,HZ541992,088XX S COTTAGE GROVE AVE,THEFT,PURSE-SNATCHING,STREET,FALSE,FALSE,2016,41.73367206,-87.60475179,12/6/2016,9:40:00
395622,10775723,HZ542195,062XX S HONORE ST,NARCOTICS,POSS: HEROIN(WHITE),RESIDENCE PORCH/HALLWAY,TRUE,FALSE,2016,41.7803544,-87.67029562,12/6/2016,13:30:00
395623,10775724,HZ542257,083XX S KOSTNER AVE,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2016,41.74101064,-87.73135331,12/5/2016,17:00:00
